Filename,Genome_length,GC,Contigs,CDS,mRNA,Gene,Chromosome,ExclFromRefSeq,Hypothetical Proteins,Average len CDS
GCA_003030285.1,4951491,52.23905284287097,2,4811.0,4808.0,4932.0,2.0,No,656,903.9318229058408
GCA_000258365.1,4788046,52.103321480202986,2,4332.0,4332.0,4567.0,2.0,No,65,943.9729916897506
GCA_001148125.2,4636142,52.082809370377355,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_009184685.1,5000356,51.90998400913855,1,4686.0,4680.0,4802.0,1.0,No,454,916.797695262484
GCA_000623055.2,4679953,52.17347268231113,1,4367.0,4367.0,4478.0,1.0,No,608,926.9892374627891
GCA_000486405.2,4864410,52.16445570994221,1,4404.0,4404.0,4517.0,1.0,No,711,951.8603542234332
GCA_004194615.2,4924354,52.0709112301837,1,4618.0,4615.0,4736.0,1.0,No,473,921.3070593330447
GCA_000624615.2,4685833,51.727665070436785,1,4315.0,4315.0,4437.0,1.0,No,877,931.411819235226
GCA_008916265.2,4979266,52.22446440901129,2,4635.0,4632.0,4755.0,2.0,from large multi-isolate project,221,930.3462783171522
GCA_000625135.2,4685848,51.74096556269004,1,4319.0,4319.0,4442.0,1.0,No,876,931.8555221116
GCA_900635615.1,4776492,52.14155074477252,1,4781.0,4781.0,4890.0,1.0,RefSeq annotation failed,0,856.3047479606777
GCA_013415925.1,5259233,51.9591545002855,5,4890.0,4887.0,5012.0,5.0,No,364,922.9478527607362
GCA_003325195.1,4813764,52.166412811263704,2,4576.0,4569.0,4685.0,2.0,No,602,910.4243881118881
GCA_013364495.1,4975130,52.054619678279764,4,4530.0,4529.0,4654.0,0.0,No,280,942.0503311258278
GCA_013487765.1,5063699,52.07471850123793,2,0.0,0.0,0.0,2.0,No,0,0.0
GCA_005221485.1,4690295,52.14921449503709,1,4457.0,4447.0,4567.0,1.0,No,633,912.6585146959839
GCA_000754375.1,4738299,52.169882061051865,2,4399.0,4399.0,4502.0,2.0,No,712,929.8811093430326
GCA_005532075.2,4709267,52.174531620313736,1,4296.0,4294.0,4415.0,1.0,from large multi-isolate project,221,949.5551675977654
GCA_003184325.1,4785531,52.00716493112259,3,4594.0,4592.0,4714.0,3.0,No,636,899.1861123204179
GCA_005885855.1,4905613,52.143880897249744,2,4630.0,4627.0,4750.0,2.0,No,347,922.8548596112311
GCA_004919325.1,5031864,52.16959361381786,3,4787.0,4785.0,4897.0,3.0,No,417,912.4439105911845
GCA_018339455.1,4815272,52.21673874289967,1,4430.0,4423.0,4543.0,1.0,from large multi-isolate project,226,937.2049661399549
GCA_018338375.1,4712564,52.24308890022502,1,4336.0,4335.0,4453.0,1.0,from large multi-isolate project,201,944.3604704797048
GCA_006051055.2,4925620,51.88697057426273,1,0.0,0.0,0.0,1.0,from large multi-isolate project,0,0.0
GCA_008931225.1,5210346,51.847727578936215,2,0.0,0.0,0.0,2.0,contaminated,0,0.0
GCA_008931245.1,5226840,51.87218281026394,2,0.0,0.0,0.0,2.0,No,0,0.0
GCA_003429425.1,4733867,52.26336101119867,2,4500.0,4489.0,4608.0,2.0,No,691,909.6366666666667
GCA_009648815.1,4576555,51.687240730199896,1,4037.0,4036.0,4151.0,1.0,No,305,958.0250185781521
GCA_000020885.1,4836638,51.99514621520155,2,4614.0,4614.0,4776.0,2.0,No,806,896.6664499349805
GCA_004923415.2,4978672,52.22798368721619,7,4669.0,4667.0,4784.0,7.0,No,439,919.6382523024203
GCA_002504105.1,5267516,51.96033576357433,3,5039.0,5038.0,5161.0,3.0,No,945,891.5616193689224
GCA_009930675.1,5145105,52.18175333642365,2,4834.0,4832.0,4955.0,2.0,No,407,920.8626396359123
GCA_000626535.2,4685835,51.72486867335277,1,4316.0,4316.0,4438.0,1.0,No,861,931.708063021316
GCA_009806735.1,5203287,52.002128654444775,2,4892.0,4889.0,5011.0,2.0,No,440,922.755928045789
GCA_014394985.2,5024703,51.944065151711456,1,4582.0,4579.0,4702.0,1.0,No,269,949.9325621999127
GCA_000623195.2,4679291,52.17266889364222,1,4369.0,4369.0,4482.0,1.0,No,629,928.157473105974
GCA_001931595.1,5043928,52.15001086454842,2,4672.0,4672.0,4796.0,2.0,No,934,924.5288955479452
GCA_007626775.2,4839265,52.19197543428599,1,4492.0,4490.0,4611.0,1.0,from large multi-isolate project,282,927.5080142475512
GCA_011057955.1,4935595,52.080326688069015,2,4597.0,4591.0,4711.0,2.0,No,395,931.319991298673
GCA_016657765.1,4552478,49.23676731661306,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_003031855.1,4840810,52.177486825551924,1,4628.0,4626.0,4744.0,1.0,No,698,914.5062662057044
GCA_018339935.1,4601045,52.143263106533404,1,4211.0,4210.0,4332.0,1.0,from large multi-isolate project,188,944.7986226549514
GCA_000625915.2,4685785,51.72853641385595,1,4317.0,4317.0,4439.0,1.0,No,875,932.1431549687283
GCA_003595725.1,5015342,52.1400933376029,3,4836.0,4834.0,4954.0,3.0,No,638,886.1681141439205
GCA_000624775.2,4685833,51.733341755884176,1,4317.0,4317.0,4439.0,1.0,No,876,931.8394718554551
GCA_000018705.1,4858887,52.109752706741276,1,5600.0,5600.0,5752.0,1.0,No,5601,776.5475
GCA_000625815.2,4685848,51.727414120133645,1,4317.0,4317.0,4439.0,1.0,No,876,931.2960389159139
GCA_002761335.1,4593026,52.34943150768143,1,4390.0,4390.0,4513.0,1.0,No,838,916.9630979498861
GCA_018338535.1,4994718,52.112171297758955,2,4646.0,4644.0,4771.0,2.0,from large multi-isolate project,321,934.0714593198451
GCA_000626395.2,4685849,51.741957540671926,1,4323.0,4323.0,4445.0,1.0,No,861,931.8480222068008
GCA_001409175.1,5099111,52.110730674425405,3,4766.0,4766.0,4876.0,3.0,No,1,925.2194712547209
GCA_009756475.1,4996832,52.17361720386037,1,4814.0,4812.0,4935.0,1.0,No,487,909.6981719983381
GCA_016454165.1,4958814,51.99622329048841,3,4463.0,4454.0,4575.0,3.0,No,317,937.8595115393233
GCA_009648755.1,4808371,52.21086309687834,2,4427.0,4426.0,4542.0,2.0,No,315,942.2272419245538
GCA_001448785.2,5102439,52.221829599530736,3,4947.0,4939.0,5059.0,3.0,No,756,896.1976955730746
GCA_002209205.2,4944234,52.11549453363251,4,4783.0,4777.0,4904.0,4.0,No,662,901.2241271168723
GCA_000008105.1,4944000,52.132483818770226,3,4665.0,4665.0,4772.0,9.0,No,381,888.7948553054663
GCA_015074885.1,4895550,52.09774182676104,5,4536.0,4534.0,4655.0,5.0,No,254,923.4272486772487
GCA_009648715.1,4808521,52.210877315498884,2,4425.0,4424.0,4541.0,2.0,No,315,941.7579661016949
GCA_014334195.1,4982694,52.02011201169488,3,4556.0,4550.0,4668.0,3.0,No,267,937.3777436347673
GCA_003717135.1,4999942,51.857701549337975,2,4428.0,4428.0,4526.0,2.0,No,1028,920.0555555555555
GCA_000624255.2,4685849,52.16546670624683,1,4362.0,4362.0,4484.0,1.0,No,895,927.8507565337002
GCA_018339475.1,4730152,52.25931428842033,1,4341.0,4339.0,4463.0,1.0,from large multi-isolate project,179,949.2881824464409
GCA_001095585.2,4757695,52.12639734156981,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_003325095.1,5152021,52.178941040807096,6,4970.0,4961.0,5085.0,6.0,No,771,892.7935613682092
GCA_005411755.2,5070245,52.10633805664224,1,4770.0,4769.0,4889.0,1.0,from large multi-isolate project,361,917.3842767295597
GCA_000750375.1,4702741,52.16912859968261,1,4372.0,4372.0,4482.0,1.0,No,616,922.8716834400732
GCA_003872215.2,5183854,52.10221969986038,2,4854.0,4849.0,4971.0,2.0,from large multi-isolate project,392,914.2805933250927
GCA_015052765.1,4899590,52.20265369143132,2,4527.0,4524.0,4647.0,2.0,No,217,938.2001325381048
GCA_018340195.1,4824280,52.233949936570845,1,4454.0,4452.0,4578.0,1.0,from large multi-isolate project,205,943.2732375392906
GCA_018986955.1,4891777,52.19767785816892,2,4539.0,4536.0,4660.0,2.0,from large multi-isolate project,232,929.5899977968716
GCA_000742815.1,4751585,52.18212449109087,1,4232.0,4232.0,4339.0,1.0,No,687,927.765831758034
GCA_001975555.1,4690402,52.25253613656143,1,4435.0,4435.0,4556.0,1.0,No,848,902.8408117249154
GCA_002762135.3,5193062,51.86914772055485,6,5048.0,5045.0,5166.0,6.0,No,720,899.3096275752773
GCA_017893625.1,4890146,52.26179341066708,2,4512.0,4508.0,4633.0,2.0,No,208,933.7859042553191
GCA_006199285.2,4721400,52.15698733426526,1,4378.0,4377.0,4497.0,1.0,from large multi-isolate project,228,932.0753768844221
GCA_013138165.1,4811684,51.55261650598834,2,0.0,0.0,0.0,2.0,from large multi-isolate project,0,0.0
GCA_001941405.1,4602439,52.31282804617291,1,4526.0,4526.0,4633.0,1.0,No,689,887.2730888201503
GCA_001975265.1,4693979,52.253961937196564,1,4476.0,4476.0,4598.0,1.0,No,833,909.7513404825737
GCA_016127435.1,5067311,52.18136404100715,4,4718.0,4715.0,4838.0,4.0,No,247,926.8902077151336
GCA_009648795.1,4951840,52.09471630747358,4,4616.0,4614.0,4736.0,4.0,No,344,930.5259965337955
GCA_003194225.1,5352626,51.864505384833535,5,5227.0,5227.0,5351.0,5.0,contaminated,1069,886.5419934953128
GCA_000624755.2,4685835,51.72484733243915,1,4320.0,4320.0,4442.0,1.0,No,878,931.4902777777778
GCA_000188955.5,4694375,52.2091226201571,1,4250.0,4250.0,4363.0,1.0,No,616,958.0548235294118
GCA_004124175.2,5209944,51.855413417111585,2,4943.0,4937.0,5062.0,2.0,No,507,916.2716973497876
GCA_015052825.1,4899622,52.202414798529354,2,4528.0,4525.0,4648.0,2.0,No,217,938.1934628975265
GCA_015697765.1,5059260,51.86570763313212,1,4566.0,4559.0,4677.0,1.0,No,283,934.8607095926412
GCA_008727635.1,5025799,52.27620523622214,2,0.0,0.0,0.0,2.0,No,0,0.0
GCA_018340335.1,4865739,52.03053431349277,1,4510.0,4509.0,4631.0,1.0,from large multi-isolate project,266,936.9722838137473
GCA_007762235.2,4960581,52.10665847407794,2,4576.0,4571.0,4694.0,2.0,from large multi-isolate project,245,936.3898601398602
GCA_003073555.1,4766139,52.07739430176082,1,4545.0,4540.0,4660.0,1.0,No,602,912.1425742574257
GCA_018339555.1,4534218,52.35030605056925,1,4161.0,4153.0,4273.0,1.0,from large multi-isolate project,164,944.5371304974766
GCA_001975405.1,4651794,52.28728959192948,1,4444.0,4444.0,4564.0,1.0,No,916,912.7990549054905
GCA_011301835.1,4674190,52.25433711509374,1,4026.0,4023.0,4139.0,1.0,many frameshifted proteins,291,913.0953800298063
GCA_003325155.1,4725999,52.29613886926341,3,4537.0,4536.0,4654.0,3.0,No,530,915.7754022481816
GCA_012051625.1,5177998,52.21635852312033,5,4836.0,4832.0,4955.0,5.0,No,323,921.8678660049628
GCA_005537375.1,5022883,52.117359691635265,3,4754.0,4751.0,4871.0,3.0,No,413,915.3277240218763
GCA_003717795.1,4774558,52.09927285415739,1,4219.0,4219.0,4319.0,1.0,No,904,924.0993126333254
GCA_000245535.1,4949783,51.85742486084744,2,4924.0,4924.0,5023.0,2.0,No,1846,846.5018277822908
GCA_001690055.1,4888142,52.060332944501205,3,4579.0,4579.0,4702.0,3.0,No,865,926.8405765450972
GCA_003717355.1,5004332,51.85243505027245,2,4441.0,4441.0,4541.0,2.0,No,1042,919.1839675748705
GCA_001623625.1,4751034,52.19510110851659,1,4440.0,4440.0,4559.0,1.0,No,905,931.3918918918919
GCA_016657405.1,5047093,50.56132312204273,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_000624315.2,4685847,51.72482157441333,1,4315.0,4315.0,4438.0,1.0,No,871,931.3909617612978
GCA_000750215.1,4710936,52.15600466658855,1,4273.0,4273.0,4382.0,1.0,No,651,945.9581090568687
GCA_006651685.2,4733388,52.31172682230994,1,4317.0,4316.0,4440.0,1.0,from large multi-isolate project,210,943.5260597637248
GCA_016454585.1,4993141,52.13585997271056,2,4661.0,4652.0,4770.0,2.0,No,367,928.9568762068226
GCA_001887015.1,4900559,52.14401050982143,2,4485.0,4485.0,4596.0,2.0,No,868,910.9418060200669
GCA_005537135.1,4959032,52.12138175353577,3,4663.0,4660.0,4785.0,3.0,No,378,921.5312030881407
GCA_008607005.2,4847006,52.174744574279465,1,4420.0,4418.0,4536.0,1.0,from large multi-isolate project,239,928.0579185520362
GCA_018338675.1,4833413,51.9547781246916,1,4399.0,4397.0,4513.0,1.0,from large multi-isolate project,249,950.2830188679245
GCA_003872625.2,4991210,52.13441229681781,1,4656.0,4655.0,4775.0,1.0,from large multi-isolate project,314,923.7442010309278
GCA_016454625.1,4904594,52.242489388520234,3,4126.0,4122.0,4244.0,3.0,many frameshifted proteins,316,905.0930683470674
GCA_000626095.2,4685848,52.16490163573381,1,4362.0,4362.0,4484.0,1.0,No,898,927.611416781293
GCA_001953015.1,4710704,52.24847496255337,1,4454.0,4454.0,4573.0,1.0,No,842,921.2231701841042
GCA_006651425.2,4786239,52.267657340137006,2,4362.0,4360.0,4479.0,2.0,from large multi-isolate project,215,928.538514442916
